0,0
1,4343
2,5702
3,7497
4,2548
5,9604
6,6291
7,2809
8,5976
9,4709
10,6375
11,4621
12,6515
13,7032
14,5505
15,1714
16,7537
17,4153
18,3468
19,11378
20,6311
21,4825
22,4256
23,5023
24,1749
25,4740
26,10075
27,10961
28,11536
29,4922
30,5573
31,5218
32,4239
33,1537
34,750
35,3036
36,1163
37,3393
38,1539
39,340
40,263
41,108
42,440
43,173
44,25
45,17
46,9
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
