0,0
1,256
2,346
3,427
4,150
5,599
6,399
7,186
8,391
9,328
10,403
11,271
12,399
13,471
14,338
15,113
16,457
17,285
18,239
19,734
20,420
21,318
22,452
23,605
24,181
25,700
26,1471
27,1699
28,1795
29,766
30,968
31,830
32,716
33,240
34,129
35,575
36,165
37,612
38,281
39,56
40,50
41,17
42,108
43,37
44,8
45,3
46,6
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
